index	cost	
619	394	
620	370	
621	1226	
622	327	
623	735	
624	883	
625	587	
626	584	
627	1089	
628	121	
629	1032	
630	740	
631	437	
632	325	
633	1450	
634	316	
635	773	
636	1106	
637	387	
638	855	
639	554	
640	633	
641	457	
642	676	
643	534	
644	519	
645	507	
646	964	
647	686	
648	356	
649	818	
650	912	
651	467	
652	912	
653	485	
654	1302	
655	913	
656	792	
657	997	
658	199	
659	555	
660	835	
661	272	
662	157	
663	1273	
664	1101	
665	507	
666	414	
667	190	
668	312	
669	756	
670	645	
671	469	
672	844	
673	587	
674	415	
675	1119	
676	829	
677	316	
678	826	
679	805	
680	272	
681	1194	
682	559	
683	857	
684	1228	
685	745	
686	659	
687	1551	
688	888	
689	434	
690	761	
691	967	
692	564	
693	1116	
694	778	
695	1067	
696	539	
697	879	
698	455	
699	516	
700	605	
701	745	
702	643	
703	535	
704	926	
705	348	
706	590	
707	358	
708	639	
709	555	
710	208	
711	267	
712	238	
713	1161	
714	848	
715	1024	
716	1049	
717	479	
718	900	
719	749	
720	127	
721	212	
722	724	
723	934	
724	329	
725	321	
726	1025	
727	398	
728	565	
729	490	
730	517	
731	378	
732	415	
733	488	
734	564	
735	464	
736	1034	
737	890	
738	957	
739	640	
740	643	
741	1276	
742	730	
743	252	
744	151	
745	641	
746	568	
747	916	
748	1193	
749	327	
750	514	
751	577	
752	685	
753	401	
754	793	
755	737	
756	905	
757	793	
758	322	
759	431	
760	649	
761	859	
762	909	
763	263	
764	984	
765	1173	
766	956	
767	455	
768	392	
769	336	
770	725	
771	535	
772	680	
773	191	
774	669	
775	258	
776	367	
777	1122	
778	688	
779	760	
780	388	
781	813	
782	266	
783	761	
784	990	
785	988	
786	1394	
787	765	
788	669	
789	123	
790	740	
791	423	
792	868	
793	516	
794	380	
795	695	
796	381	
797	797	
798	985	
799	418	
800	428	
801	362	
802	446	
803	223	
804	915	
805	1052	
806	359	
807	742	
808	597	
809	907	
810	661	
811	620	
812	336	
813	1212	
814	203	
815	415	
816	515	
817	568	
818	708	
819	644	
820	1017	
821	695	
822	853	
823	440	
824	763	
825	513	
826	587	
827	757	
828	475	
829	290	
830	611	
831	437	
832	1448	
833	861	
834	1121	
835	755	
836	688	
837	512	
838	1344	
839	922	
840	983	
841	1225	
842	717	
843	611	
844	318	
845	884	
846	599	
847	517	
848	1249	
849	1002	
850	757	
851	512	
852	379	
853	410	
854	736	
855	256	
856	363	
857	1129	
858	571	
859	626	
860	330	
861	884	
862	1011	
863	472	
864	644	
865	254	
866	435	
867	196	
868	325	
869	128	
870	347	
871	283	
872	469	
873	621	
874	625	
875	638	
876	401	
877	631	
878	222	
879	510	
880	753	
881	928	
882	1226	
883	573	
884	632	
885	821	
886	230	
887	743	
888	503	
889	401	
890	538	
891	517	
892	555	
893	316	
894	768	
895	768	
896	1046	
897	542	
898	1488	
899	1059	
900	580	
901	605	
902	184	
903	804	
904	819	
905	439	
906	886	
907	686	
908	642	
909	648	
910	633	
911	895	
912	504	
913	903	
914	365	
915	606	
916	611	
917	307	
918	742	
919	763	
920	452	
921	476	
922	398	
923	338	
924	772	
925	504	
926	374	
927	867	
928	659	
929	194	
930	678	
931	928	
932	677	
933	676	
934	408	
935	357	
936	243	
937	280	
938	778	
939	1040	
940	1180	
941	691	
942	863	
943	668	
944	576	
945	403	
946	388	
947	387	
948	609	
949	184	
950	387	
951	380	
952	326	
953	483	
954	156	
955	714	
956	1028	
957	1278	
958	939	
959	1050	
960	647	
961	375	
962	440	
963	327	
964	664	
965	606	
966	626	
967	285	
968	374	
969	1003	
970	187	
971	609	
972	770	
973	987	
974	694	
975	859	
976	1039	
977	426	
978	530	
979	629	
980	231	
981	1001	
982	770	
983	407	
984	644	
985	268	
986	936	
987	632	
988	505	
989	601	
990	1314	
991	671	
992	580	
993	361	
994	479	
995	856	
996	462	
997	154	
998	490	
999	930	
1000	408	
1001	684	
1002	1220	
1003	418	
1004	1252	
1005	323	
1006	1279	
1007	876	
1008	552	
1009	1172	
1010	694	
1011	1014	
1012	357	
1013	701	
1014	429	
1015	812	
1016	1184	
1017	225	
1018	648	
1019	578	
1020	623	
1021	121	
1022	820	
1023	489	
1024	1131	
1025	886	
1026	294	
1027	918	
1028	340	
1029	773	
1030	953	
1031	234	
1032	676	
1033	196	
1034	1031	
1035	889	
1036	823	
1037	346	
1038	203	
1039	357	
1040	498	
1041	1009	
1042	938	
1043	386	
1044	805	
1045	632	
1046	643	
1047	1405	
1048	459	
1049	374	
1050	746	
1051	549	
1052	875	
1053	2011	
1054	597	
1055	263	
1056	701	
1057	520	
1058	937	
1059	1046	
1060	257	
1061	1020	
1062	928	
1063	472	
1064	1259	
1065	943	
1066	877	
1067	714	
1068	616	
1069	1056	
1070	108	
1071	640	
1072	791	
1073	665	
1074	587	
1075	335	
1076	568	
1077	501	
1078	997	
1079	428	
1080	422	
1081	569	
1082	385	
1083	303	
1084	937	
1085	175	
1086	272	
1087	684	
1088	1254	
1089	509	
1090	261	
1091	832	
1092	710	
1093	455	
1094	908	
1095	966	
1096	535	
1097	422	
1098	213	
1099	436	
1100	559	
1101	912	
1102	380	
1103	332	
1104	497	
1105	1182	
1106	603	
1107	647	
1108	697	
1109	586	
1110	829	
1111	877	
1112	1206	
1113	563	
1114	772	
1115	331	
1116	531	
1117	817	
1118	686	
1119	857	
1120	254	
1121	256	
1122	1340	
1123	582	
1124	1267	
1125	967	
1126	802	
1127	401	
1128	340	
1129	1292	
1130	1132	
1131	1192	
1132	580	
1133	712	
1134	870	
1135	833	
1136	308	
1137	828	
1138	1905	
1139	344	
1140	403	
1141	298	
1142	1414	
1143	871	
1144	712	
1145	364	
1146	171	
1147	911	
1148	930	
1149	315	
1150	644	
1151	543	
1152	842	
1153	506	
1154	691	
1155	208	
1156	972	
1157	910	
1158	503	
1159	726	
1160	1033	
1161	904	
1162	1014	
1163	882	
1164	703	
1165	665	
1166	572	
1167	1289	
1168	718	
1169	435	
1170	841	
1171	1278	
1172	728	
1173	552	
1174	999	
1175	847	
1176	1196	
1177	746	
1178	1301	
1179	305	
1180	387	
1181	940	
1182	438	
1183	874	
1184	1313	
1185	723	
1186	459	
1187	710	
1188	840	
1189	498	
1190	687	
1191	814	
1192	352	
1193	856	
1194	537	
1195	409	
1196	645	
1197	605	
1198	865	
1199	780	
1200	1049	
1201	338	
1202	1096	
1203	112	
1204	735	
1205	552	
1206	583	
1207	201	
1208	1047	
1209	565	
1210	752	
1211	553	
1212	822	
1213	523	
1214	156	
1215	818	
1216	425	
1217	518	
1218	726	
1219	900	
1220	615	
1221	181	
1222	598	
1223	1259	
1224	963	
1225	440	
1226	535	
1227	1190	
1228	369	
1229	1177	
1230	259	
1231	1385	
1232	900	
1233	223	
1234	953	
1235	922	
1236	447	
1237	470	
1238	307	
1239	575	
1240	762	
1241	768	
1242	214	
1243	186	
1244	729	
1245	988	
1246	944	
1247	215	
1248	651	
1249	758	
1250	1340	
1251	451	
1252	408	
1253	970	
1254	144	
1255	299	
1256	1032	
1257	366	
1258	236	
1259	296	
1260	610	
1261	888	
1262	491	
1263	352	
1264	685	
1265	740	
1266	300	
1267	493	
1268	877	
1269	928	
1270	127	
1271	1365	
1272	388	
1273	834	
1274	480	
1275	844	
1276	1065	
1277	375	
1278	317	
1279	821	
1280	922	
1281	805	
1282	922	
1283	328	
1284	602	
1285	1216	
1286	666	
1287	979	
1288	769	
1289	471	
1290	101	
1291	230	
1292	594	
1293	580	
1294	572	
1295	122	
1296	538	
1297	649	
1298	632	
1299	575	
1300	556	
1301	1215	
1302	783	
1303	485	
1304	883	
1305	780	
1306	1183	
1307	478	
1308	322	
1309	605	
1310	1374	
1311	477	
1312	785	
1313	492	
1314	429	
1315	520	
1316	632	
1317	264	
1318	735	
1319	651	
1320	704	
1321	145	
1322	1162	
1323	171	
1324	707	
1325	531	
1326	319	
1327	286	
1328	1408	
1329	435	
1330	1003	
1331	1070	
1332	460	
1333	266	
1334	874	
1335	242	
1336	1141	
1337	909	
1338	381	
1339	511	
1340	1032	
1341	748	
1342	1136	
1343	147	
1344	578	
1345	786	
1346	1266	
1347	543	
1348	411	
1349	1123	
1350	560	
1351	816	
1352	816	
1353	299	
1354	606	
1355	415	
1356	799	
1357	496	
1358	292	
1359	459	
1360	411	
1361	1296	
1362	986	
1363	396	
1364	472	
1365	440	
1366	575	
1367	760	
1368	606	
1369	670	
1370	977	
1371	943	
1372	997	
1373	216	
1374	411	
1375	264	
1376	810	
1377	787	
1378	424	
1379	875	
1380	911	
1381	887	
1382	241	
1383	833	
1384	810	
1385	636	
1386	1005	
1387	188	
1388	540	
1389	1400	
1390	284	
1391	1011	
1392	866	
1393	521	
1394	459	
1395	591	
1396	683	
1397	1132	
1398	590	
1399	835	
1400	335	
1401	582	
1402	1057	
1403	892	
1404	457	
1405	843	
1406	241	
1407	243	
1408	574	
1409	1096	
1410	739	
1411	287	
1412	1037	
1413	1007	
1414	265	
1415	1345	
1416	716	
1417	254	
1418	616	
1419	246	
1420	1364	
1421	743	
1422	978	
1423	2158	
1424	1152	
1425	622	
1426	589	
1427	633	
1428	418	
1429	521	
1430	402	
1431	502	
1432	581	
1433	308	
1434	802	
1435	535	
1436	748	
1437	785	
1438	591	
1439	817	
1440	139	
1441	477	
1442	779	
1443	272	
1444	715	
1445	386	
1446	895	
1447	920	
1448	892	
1449	571	
1450	675	
1451	521	
1452	106	
1453	1119	
1454	1147	
1455	1100	
1456	373	
1457	783	
1458	761	
1459	290	
1460	984	
1461	400	
1462	608	
1463	279	
1464	754	
1465	236	
1466	694	
1467	898	
1468	638	
1469	793	
1470	428	
1471	1193	
1472	537	
1473	486	
1474	600	
1475	659	
1476	416	
1477	458	
1478	321	
1479	669	
1480	358	
1481	745	
1482	569	
1483	556	
1484	923	
1485	1017	
1486	860	
1487	942	
1488	165	
1489	411	
1490	685	
1491	446	
1492	325	
1493	581	
1494	534	
1495	239	
1496	1182	
1497	428	
1498	960	
1499	717	
1500	585	
1501	567	
1502	683	
1503	874	
1504	382	
1505	256	
1506	1394	
1507	373	
1508	121	
1509	899	
1510	414	
1511	1176	
1512	439	
1513	590	
1514	1043	
1515	800	
1516	607	
1517	1211	
1518	793	
1519	621	
1520	142	
1521	406	
1522	846	
1523	687	
1524	1151	
1525	388	
1526	426	
1527	141	
1528	576	
1529	742	
1530	955	
1531	390	
1532	672	
1533	930	
1534	681	
1535	887	
1536	105	
1537	1396	
1538	181	
1539	405	
1540	1066	
1541	518	
1542	537	
1543	305	
1544	556	
1545	607	
1546	720	
1547	710	
1548	1091	
1549	665	
1550	745	
1551	839	
1552	388	
1553	630	
1554	700	
1555	450	
1556	763	
1557	1298	
1558	494	
1559	561	
1560	729	
1561	376	
1562	630	
1563	580	
1564	371	
1565	1156	
1566	845	
1567	896	
1568	758	
1569	985	
1570	688	
1571	552	
1572	351	
1573	654	
1574	515	
1575	1741	
1576	304	
1577	1482	
1578	1007	
1579	1032	
1580	654	
1581	840	
1582	1339	
1583	379	
1584	777	
1585	405	
1586	534	
1587	647	
1588	821	
1589	515	
1590	397	
1591	820	
1592	443	
1593	340	
1594	484	
1595	620	
1596	426	
1597	373	
1598	350	
1599	1259	
1600	815	
1601	721	
1602	780	
1603	505	
1604	436	
1605	372	
1606	498	
1607	751	
1608	636	
1609	736	
1610	557	
1611	362	
1612	1167	
1613	522	
