cost	probability	
48	1.000010000100001e-05	
53	2.000020000200002e-05	
56	3.000030000300003e-05	
57	4.000040000400004e-05	
59	5.0000500005000046e-05	
60	6.000060000600005e-05	
61	7.000070000700006e-05	
63	0.00010000100001000009	
64	0.00015000150001500014	
65	0.00019000190001900016	
66	0.0002200022000220002	
68	0.0002400024000240002	
70	0.0003200032000320003	
71	0.0003500035000350003	
72	0.00036000360003600034	
73	0.00040000400004000037	
74	0.0004400044000440004	
75	0.0005200052000520005	
76	0.0005800058000580005	
77	0.0006200062000620006	
78	0.0006900069000690006	
79	0.0007400074000740007	
80	0.0007900079000790008	
81	0.0008900089000890009	
82	0.0009500095000950009	
83	0.001040010400104001	
84	0.0011400114001140012	
85	0.0012600126001260012	
86	0.0013400134001340014	
87	0.0014100141001410014	
88	0.0015300153001530014	
89	0.0016200162001620015	
90	0.0017200172001720017	
91	0.0019000190001900018	
92	0.002050020500205002	
93	0.002220022200222002	
94	0.0023700237002370022	
95	0.0025700257002570026	
96	0.0026700267002670026	
97	0.0027700277002770026	
98	0.002930029300293003	
99	0.003060030600306003	
100	0.003140031400314003	
101	0.003310033100331003	
102	0.003450034500345003	
103	0.0036000360003600033	
104	0.0038200382003820035	
105	0.003940039400394004	
106	0.004100041000410004	
107	0.004310043100431004	
108	0.004620046200462005	
109	0.004840048400484005	
110	0.005170051700517006	
111	0.005460054600546006	
112	0.005780057800578007	
113	0.006100061000610007	
114	0.006410064100641008	
115	0.006650066500665008	
116	0.006900069000690009	
117	0.007180071800718009	
118	0.007590075900759009	
119	0.00793007930079301	
120	0.00825008250082501	
121	0.00864008640086401	
122	0.008970089700897011	
123	0.009400094000940011	
124	0.009770097700977011	
125	0.010260102601026012	
126	0.010710107101071013	
127	0.011100111001110012	
128	0.011510115101151012	
129	0.011970119701197013	
130	0.012350123501235013	
131	0.012670126701267014	
132	0.013050130501305013	
133	0.013390133901339014	
134	0.013780137801378014	
135	0.014200142001420014	
136	0.014580145801458014	
137	0.014920149201492015	
138	0.015380153801538015	
139	0.015650156501565017	
140	0.015980159801598018	
141	0.01633016330163302	
142	0.01671016710167102	
143	0.01716017160171602	
144	0.01745017450174502	
145	0.01786017860178602	
146	0.018180181801818022	
147	0.018470184701847022	
148	0.01865018650186502	
149	0.01894018940189402	
150	0.01923019230192302	
151	0.01950019500195002	
152	0.019800198001980022	
153	0.020070200702007022	
154	0.020350203502035022	
155	0.02052020520205202	
156	0.02074020740207402	
157	0.02092020920209202	
158	0.02128021280212802	
159	0.02156021560215602	
160	0.02179021790217902	
161	0.02201022010220102	
162	0.022210222102221018	
163	0.022490224902249018	
164	0.022740227402274018	
165	0.023010230102301018	
166	0.023230232302323017	
167	0.023470234702347017	
168	0.023760237602376017	
169	0.024040240402404017	
170	0.024350243502435018	
171	0.02468024680246802	
172	0.024900249002490018	
173	0.02521025210252102	
174	0.02553025530255302	
175	0.02582025820258202	
176	0.02612026120261202	
177	0.02637026370263702	
178	0.02666026660266602	
179	0.02696026960269602	
180	0.02731027310273102	
181	0.02775027750277502	
182	0.02808028080280802	
183	0.02840028400284002	
184	0.028770287702877023	
185	0.029140291402914024	
186	0.029590295902959023	
187	0.029980299802998024	
188	0.030320303203032025	
189	0.030710307103071027	
190	0.031110311103111028	
191	0.03154031540315403	
192	0.03189031890318903	
193	0.03228032280322803	
194	0.03260032600326003	
195	0.03299032990329903	
196	0.03333033330333303	
197	0.03373033730337303	
198	0.03416034160341603	
199	0.03462034620346203	
200	0.035020350203502026	
201	0.03539035390353903	
202	0.035830358303583026	
203	0.036290362903629025	
204	0.036690366903669024	
205	0.03715037150371502	
206	0.03748037480374802	
207	0.03800038000380002	
208	0.038350383503835024	
209	0.038660386603866025	
210	0.03910039100391002	
211	0.039550395503955026	
212	0.03994039940399403	
213	0.04033040330403303	
214	0.04074040740407403	
215	0.04121041210412103	
216	0.041700417004170036	
217	0.042240422404224036	
218	0.04271042710427104	
219	0.04311043110431104	
220	0.043510435104351035	
221	0.04398043980439804	
222	0.04452044520445204	
223	0.04493044930449304	
224	0.04543045430454304	
225	0.04592045920459204	
226	0.04651046510465104	
227	0.04696046960469604	
228	0.04742047420474204	
229	0.04787047870478704	
230	0.04848048480484804	
231	0.04883048830488304	
232	0.049400494004940045	
233	0.04991049910499105	
234	0.05042050420504205	
235	0.05092050920509205	
236	0.05135051350513505	
237	0.051840518405184055	
238	0.05251052510525105	
239	0.053250532505325056	
240	0.05385053850538506	
241	0.05443054430544306	
242	0.054890548905489056	
243	0.055500555005550054	
244	0.05613056130561305	
245	0.056890568905689054	
246	0.05764057640576405	
247	0.05837058370583705	
248	0.059070590705907054	
249	0.059980599805998056	
250	0.06061060610606105	
251	0.061290612906129055	
252	0.06186061860618606	
253	0.06280062800628006	
254	0.06354063540635406	
255	0.06426064260642605	
256	0.06475064750647505	
257	0.06540065400654005	
258	0.06626066260662605	
259	0.06706067060670605	
260	0.06764067640676405	
261	0.06841068410684105	
262	0.06909069090690904	
263	0.06993069930699304	
264	0.07066070660706604	
265	0.07131071310713104	
266	0.07217072170721704	
267	0.07295072950729505	
268	0.07382073820738205	
269	0.07457074570745706	
270	0.07527075270752706	
271	0.07598075980759807	
272	0.07689076890768906	
273	0.07772077720777207	
274	0.07854078540785407	
275	0.07927079270792707	
276	0.08007080070800707	
277	0.08094080940809407	
278	0.08179081790817908	
279	0.08270082700827007	
280	0.08355083550835507	
281	0.08430084300843008	
282	0.08515085150851508	
283	0.08609086090860908	
284	0.08689086890868908	
285	0.08778087780877808	
